Day,Food,Calories,Protein_g,Fat_g,Carbs_g,Sugar_g
65,Salmon,213.7,22.5,12.6,0.5,0.0
66,Yogurt,114.1,6.8,3.1,13.4,10.1
67,Apple,53.5,0.2,0.1,13.0,11.4
68,Banana,90.4,1.3,0.3,26.0,14.0
69,Banana,88.4,1.5,0.3,24.2,14.6
70,Cheese,307.2,21.0,26.0,2.7,0.2
71,Carrot,42.0,0.9,0.2,9.8,5.0
72,Cheese,347.5,21.4,30.9,1.3,0.2
73,Apple,51.6,0.5,0.3,14.0,12.0
74,Milk,98.5,3.1,4.6,11.1,9.3
75,Yogurt,91.6,9.9,2.9,10.1,9.1
76,Apple,59.3,0.4,0.3,14.3,11.5
77,Chicken,174.0,25.8,5.4,0.4,0.0
78,Yogurt,102.8,8.3,3.8,14.2,11.4
79,Bread,291.4,7.5,3.5,52.3,3.2
80,Salmon,205.4,22.7,14.2,0.4,0.0
81,Salmon,243.1,21.7,13.9,0.7,0.0
82,Salmon,213.5,20.2,12.6,0.9,0.0
83,Chicken,187.1,25.5,7.1,0.6,0.0
84,Apple,51.8,0.3,0.3,15.1,10.6
85,Apple,56.5,0.4,0.1,14.8,10.3
86,Carrot,38.6,0.5,0.2,9.1,5.6
87,Apple,56.9,0.4,0.1,14.6,11.7
88,Carrot,35.4,0.5,0.1,8.8,5.6
89,Yogurt,116.9,9.7,3.4,12.3,9.5
90,Milk,91.6,3.7,4.1,10.6,9.9
91,Bread,280.1,7.2,3.6,47.4,3.5
92,Egg,72.1,6.7,5.3,0.9,0.5
93,Chicken,172.8,25.4,4.3,0.3,0.0
94,Bread,266.2,8.8,4.7,53.1,4.4
95,Chicken,176.1,28.2,3.1,0.7,0.0
96,Carrot,35.4,0.6,0.1,9.6,5.6
97,Carrot,42.3,0.9,0.1,8.6,4.3
98,Apple,54.5,0.5,0.2,14.0,10.1
99,Chicken,177.6,27.3,4.5,0.2,0.0
100,Cheese,359.0,20.4,31.5,2.0,0.9
101,Chicken,181.6,25.3,4.7,0.4,0.0
102,Yogurt,106.3,6.2,2.2,10.5,8.6
103,Bread,282.4,8.9,4.7,49.7,3.8
104,Milk,107.2,3.3,4.8,11.6,10.7
105,Salmon,205.4,23.4,12.9,0.7,0.0
106,Egg,79.7,7.3,6.9,0.9,0.2
107,Banana,93.7,1.4,0.4,25.5,12.1
108,Apple,59.3,0.5,0.3,13.2,10.4
109,Cheese,356.1,22.9,27.6,2.4,0.3
110,Chicken,175.0,25.8,4.9,0.3,0.0
111,Salmon,244.1,23.9,10.8,0.9,0.0
112,Egg,81.0,7.0,5.8,0.6,0.3
113,Cheese,311.3,24.6,31.9,2.0,0.7
114,Milk,95.7,3.8,3.2,11.7,10.2
115,Milk,90.3,3.3,3.8,11.4,10.3
116,Carrot,41.3,0.8,0.3,9.1,5.1
117,Banana,98.0,1.4,0.3,26.9,14.3
118,Carrot,41.5,1.0,0.2,9.3,4.3
119,Yogurt,114.9,9.9,2.9,13.9,10.1
120,Carrot,35.6,0.9,0.3,9.2,5.6
121,Cheese,301.8,20.6,27.1,2.0,0.5
122,Egg,72.3,6.8,5.8,1.0,0.3
123,Milk,94.4,3.3,4.1,11.6,10.1
124,Milk,102.8,3.5,3.8,10.5,9.1
125,Yogurt,116.0,7.5,2.5,12.9,8.9
126,Cheese,368.3,21.9,30.8,2.9,0.4
127,Banana,87.9,1.4,0.2,26.1,12.9
128,Apple,56.5,0.3,0.1,14.7,10.7
129,Apple,53.8,0.5,0.3,13.8,11.3
130,Carrot,36.2,0.8,0.1,9.7,5.0
131,Salmon,246.9,23.1,11.1,0.2,0.0
132,Egg,89.4,7.0,6.5,0.5,0.4
133,Salmon,210.4,21.5,13.8,0.1,0.0
134,Cheese,396.1,21.9,34.9,2.4,0.6
135,Carrot,39.7,0.9,0.3,8.5,5.6
136,Salmon,241.5,22.1,13.4,0.5,0.0
137,Milk,96.2,3.4,3.3,10.3,9.2
138,Egg,72.0,6.1,5.9,0.8,0.1
139,Yogurt,94.8,7.8,3.9,13.0,8.8
140,Egg,74.9,7.9,5.4,1.0,0.0
141,Chicken,185.1,25.3,6.2,0.9,0.0
142,Egg,72.8,7.2,6.7,1.0,0.5
143,Banana,94.9,1.4,0.3,25.7,12.0
144,Cheese,335.4,22.4,34.0,1.4,0.8
145,Milk,97.7,3.8,3.9,11.5,10.3
146,Carrot,35.1,0.9,0.3,9.4,6.0
147,Egg,78.4,7.6,5.9,1.0,0.4
148,Banana,94.5,1.3,0.3,25.9,14.6
149,Bread,274.4,8.0,4.4,48.9,3.3
150,Cheese,336.6,23.2,27.7,1.2,0.0
151,Carrot,36.5,0.6,0.2,8.4,5.2
152,Banana,99.5,1.5,0.3,22.4,13.8
153,Apple,57.2,0.5,0.2,14.0,12.0
154,Egg,76.7,6.3,6.4,0.5,0.3
155,Yogurt,95.2,6.2,3.6,11.9,11.2
156,Carrot,41.1,0.9,0.1,9.7,5.2
157,Salmon,215.1,20.3,11.7,0.8,0.0
158,Egg,81.5,6.9,5.2,0.7,0.3
159,Chicken,188.7,26.3,6.3,0.3,0.0
160,Salmon,246.4,23.5,10.6,0.3,0.0
161,Milk,107.4,3.0,3.7,11.2,10.3
162,Cheese,356.4,23.2,26.4,2.3,0.8
163,Chicken,181.4,25.2,6.6,0.5,0.0
164,Banana,98.4,1.4,0.2,25.8,14.1
165,Yogurt,92.6,6.6,2.4,10.1,9.2
166,Bread,284.8,9.0,5.0,50.4,3.0
167,Cheese,328.4,23.9,26.1,2.1,0.9
168,Banana,96.3,1.1,0.4,22.2,13.9
169,Banana,91.5,1.4,0.3,23.8,12.4
170,Banana,98.7,1.2,0.4,24.4,14.6
171,Chicken,181.2,27.1,3.3,0.5,0.0
172,Carrot,36.0,0.6,0.1,9.2,5.6
173,Egg,86.4,6.9,5.8,0.8,0.1
174,Yogurt,100.3,8.6,3.0,12.8,9.6
175,Carrot,41.9,0.8,0.3,9.7,4.0
176,Bread,278.1,8.6,3.4,50.0,3.8
177,Banana,99.9,1.2,0.4,25.3,13.6
178,Apple,56.0,0.5,0.2,13.9,11.3
179,Chicken,196.5,28.8,6.2,0.4,0.0
180,Chicken,179.0,27.9,3.2,0.7,0.0
181,Banana,88.1,1.5,0.2,25.7,12.8
182,Banana,95.7,1.5,0.4,26.0,13.5
183,Carrot,44.5,0.8,0.1,9.7,5.1
184,Yogurt,90.5,8.9,3.7,14.9,9.6
185,Carrot,35.1,0.6,0.2,8.9,4.4
186,Carrot,39.2,0.7,0.2,8.9,5.8
187,Milk,107.7,3.4,4.0,11.5,10.5
188,Salmon,203.3,20.2,14.2,0.7,0.0
189,Chicken,186.6,28.2,7.4,0.5,0.0
190,Chicken,185.7,28.8,5.1,0.6,0.0
191,Carrot,38.3,0.8,0.3,8.4,4.1
192,Bread,293.9,8.0,4.9,46.9,3.3
193,Bread,251.9,8.7,4.5,49.2,3.3
194,Salmon,207.0,20.2,12.7,0.9,0.0
195,Apple,50.9,0.2,0.2,13.6,10.4
196,Bread,275.8,7.1,4.2,47.3,3.1
197,Cheese,352.1,23.5,29.9,2.4,0.8
198,Apple,51.1,0.4,0.1,15.2,11.4
199,Yogurt,109.9,8.4,3.2,12.8,11.8
200,Egg,79.7,7.6,6.1,0.7,0.1
