day,hum%,Tmax,Tmin,Rain,rainydays,Hum
412,79.9,15.0,7.0,0.7,1,0.799
413,87.9,14.3,8.5,0.0,0,0.879
414,70.9,20.0,13.1,0.0,0,0.709
415,80.8,18.2,10.2,0.0,0,0.808
416,90.0,16.2,6.3,0.0,0,0.9
417,80.3,20.9,12.3,0.0,0,0.803
418,73.5,18.1,8.5,0.0,0,0.735
419,76.7,20.4,11.6,0.0,0,0.767
420,80.9,18.3,10.3,0.0,0,0.809
421,86.5,22.3,16.4,0.0,0,0.865
422,78.2,21.8,13.5,0.0,0,0.782
423,84.1,17.9,9.8,0.0,0,0.841
424,72.8,20.4,12.4,5.7,1,0.728
425,72.8,19.9,12.4,0.0,0,0.728
426,77.6,21.4,13.8,3.1,1,0.776
427,87.2,16.8,10.2,0.0,0,0.872
428,80.3,20.2,12.6,0.0,0,0.803
429,81.4,21.0,15.0,0.0,0,0.814
430,81.3,15.5,6.5,0.8,1,0.813
431,85.4,16.7,10.8,0.0,0,0.854
432,76.8,15.1,9.6,0.1,1,0.768
433,83.2,18.7,11.5,0.0,0,0.832
434,75.6,20.7,12.4,0.0,0,0.756
435,89.6,22.3,15.2,4.0,1,0.896
436,75.6,19.5,13.2,0.0,0,0.756
437,75.1,22.7,14.9,3.5,1,0.751
438,82.1,16.8,10.0,0.0,0,0.821
439,79.7,16.2,6.5,0.4,1,0.797
440,80.8,19.5,9.9,1.5,1,0.808
441,80.2,20.4,12.9,6.8,1,0.802
442,73.5,19.6,13.0,2.9,1,0.735
443,86.8,15.6,6.9,0.0,0,0.868
444,83.1,19.6,14.4,0.0,0,0.831
445,85.2,17.2,9.8,0.0,0,0.852
446,75.6,21.2,14.5,1.3,1,0.756
447,80.2,20.6,11.0,0.0,0,0.802
448,78.9,18.0,13.0,0.0,0,0.789
449,83.4,18.9,11.1,0.0,0,0.834
450,83.3,17.8,9.1,0.0,0,0.833
451,78.3,19.8,12.4,0.0,0,0.783
452,69.5,21.9,16.5,1.4,1,0.695
453,85.8,18.0,8.2,0.0,0,0.858
454,79.4,21.0,13.4,0.0,0,0.794
455,73.4,18.9,10.9,0.0,0,0.734
456,78.2,18.4,12.2,1.0,1,0.782
457,68.3,19.8,12.4,4.1,1,0.683
458,80.9,17.9,10.8,0.0,0,0.809
459,68.0,18.9,13.5,4.4,1,0.68
460,74.0,17.6,12.1,0.5,1,0.74
461,76.0,23.9,14.7,0.0,0,0.76
462,79.7,20.0,13.8,0.0,0,0.797
463,74.7,18.5,12.6,0.0,0,0.747
464,77.1,20.3,12.8,3.5,1,0.771
465,73.4,19.7,10.8,0.0,0,0.734
466,73.1,19.4,14.1,3.8,1,0.731
467,73.3,21.1,13.2,0.0,0,0.733
468,71.6,21.3,15.7,0.0,0,0.716
469,63.8,18.7,13.5,0.0,0,0.638
470,68.0,18.6,13.3,0.0,0,0.68
471,72.8,19.1,10.0,0.0,0,0.728
472,69.9,15.0,9.4,6.3,1,0.699
473,70.0,16.6,11.3,2.5,1,0.7
474,68.8,22.3,15.1,0.0,0,0.688
475,65.7,22.8,13.6,0.2,1,0.657
476,67.2,18.9,12.6,0.0,0,0.672
477,67.7,20.5,13.4,6.7,1,0.677
478,68.9,19.9,14.7,0.0,0,0.689
479,70.4,25.4,18.2,0.0,0,0.704
480,67.1,21.4,13.5,0.0,0,0.671
481,62.5,18.9,11.0,0.0,0,0.625
482,60.2,17.1,10.5,0.2,1,0.602
483,79.8,15.7,9.2,0.0,0,0.798
484,60.7,19.3,13.8,0.0,0,0.607
485,63.3,17.3,10.5,3.3,1,0.633
486,68.1,15.9,10.4,0.0,0,0.681
487,66.8,17.3,8.5,0.0,0,0.668
488,67.2,16.4,6.5,0.0,0,0.672
489,61.9,21.8,12.0,0.0,0,0.619
490,64.9,20.1,10.8,0.0,0,0.649
491,63.5,18.2,10.2,0.0,0,0.635
492,61.2,21.1,12.6,1.7,1,0.612
493,63.5,18.2,11.8,0.0,0,0.635
494,67.1,16.2,8.1,0.0,0,0.671
495,61.2,20.9,13.6,0.0,0,0.612
496,60.8,18.8,11.4,0.0,0,0.608
497,65.7,15.6,6.8,0.0,0,0.657
498,64.7,17.1,10.7,0.0,0,0.647
499,67.3,15.7,9.1,0.0,0,0.673
500,50.1,14.5,4.9,0.0,0,0.501
501,62.9,19.0,13.7,4.5,1,0.629
502,60.9,20.9,13.4,0.0,0,0.609
503,53.0,14.1,4.6,0.0,0,0.53
504,58.2,17.9,9.9,0.0,0,0.582
505,61.7,15.4,7.6,3.5,1,0.617
506,51.8,15.6,9.3,0.0,0,0.518
507,57.6,15.2,8.5,0.0,0,0.576
508,59.2,14.6,5.3,0.0,0,0.592
509,49.0,16.2,8.5,0.5,1,0.49
510,53.2,14.4,6.8,0.0,0,0.532
511,54.9,16.4,10.9,0.6,1,0.549
512,48.9,15.6,10.6,0.0,0,0.489
513,47.9,15.1,5.3,1.6,1,0.479
514,51.1,13.6,6.8,0.0,0,0.511
515,55.3,14.2,6.1,1.7,1,0.553
516,54.0,16.7,11.3,2.1,1,0.54
517,46.0,16.0,7.6,0.1,1,0.46
518,53.0,12.9,3.2,0.0,0,0.53
519,45.0,14.9,7.0,0.0,0,0.45
520,40.7,16.1,10.4,0.0,0,0.407
521,46.4,11.1,3.2,0.0,0,0.464
522,53.3,15.3,6.5,0.0,0,0.533
523,50.4,12.8,5.7,0.0,0,0.504
524,46.6,15.1,5.7,3.5,1,0.466
525,44.1,12.3,4.0,1.8,1,0.441
526,43.7,10.0,0.5,0.0,0,0.437
527,45.7,10.2,2.1,0.0,0,0.457
528,39.3,13.4,7.7,1.4,1,0.393
529,42.4,13.7,7.1,2.0,1,0.424
530,42.5,11.2,5.1,8.4,1,0.425
531,36.3,14.1,4.5,0.0,0,0.363
532,38.4,9.3,0.5,1.2,1,0.384
533,44.1,12.3,4.0,0.0,0,0.441
534,41.6,9.9,3.4,0.0,0,0.416
535,39.6,10.8,4.9,0.0,0,0.396
536,36.0,12.1,3.3,2.8,1,0.36
537,48.0,10.1,2.7,1.5,1,0.48
538,35.4,10.9,4.7,0.0,0,0.354
539,40.4,13.5,5.4,0.0,0,0.404
540,36.2,10.1,4.9,0.0,0,0.362
541,38.4,12.8,6.2,0.0,0,0.384
542,40.0,8.7,1.3,0.0,0,0.4
543,30.4,11.8,6.1,0.0,0,0.304
544,36.8,13.5,3.6,0.0,0,0.368
545,42.3,5.5,-0.6,0.0,0,0.423
546,44.7,8.7,3.0,6.3,1,0.447
547,34.8,11.2,5.2,3.9,1,0.348
548,35.2,9.5,0.7,1.4,1,0.352
549,45.6,10.5,3.4,0.7,1,0.456
550,39.8,8.4,0.5,0.0,0,0.398
551,30.6,9.6,4.5,0.0,0,0.306
552,30.1,8.9,3.7,0.0,0,0.301
553,37.6,11.4,4.2,0.0,0,0.376
554,27.3,9.4,0.3,4.5,1,0.273
555,37.4,9.4,-0.0,0.0,0,0.374
556,33.2,7.7,2.3,2.4,1,0.332
557,33.7,7.4,-0.3,0.0,0,0.337
558,29.5,7.3,-2.2,0.0,0,0.295
559,27.2,8.8,1.9,0.0,0,0.272
560,37.3,7.0,-2.1,0.0,0,0.373
561,28.3,8.3,2.6,3.0,1,0.283
562,27.1,11.7,2.0,0.0,0,0.271
563,28.4,9.1,0.3,1.9,1,0.284
564,29.4,6.5,-3.2,0.3,1,0.294
565,23.0,9.4,1.1,0.0,0,0.23
566,24.9,6.1,-0.8,3.2,1,0.249
567,24.3,2.6,-7.1,0.0,0,0.243
568,31.3,4.5,-1.9,0.0,0,0.313
569,22.3,2.6,-4.0,0.0,0,0.223
570,20.0,5.5,-3.0,0.7,1,0.2
571,20.0,6.1,-2.7,0.0,0,0.2
572,20.0,9.3,-0.4,0.0,0,0.2
