day_of_year,tmax,tmin,rainfall,humidity,radiation
185,29.5,20.9,0.0,42.6,25.0
186,29.9,18.9,0.0,60.0,21.89
187,29.4,16.3,2.1,50.0,25.0
188,24.3,20.5,0.0,35.6,25.0
189,29.3,19.8,0.0,41.2,25.0
190,27.0,13.3,0.0,55.1,24.84
191,28.6,17.5,0.0,65.0,22.15
192,24.2,16.4,0.0,53.4,25.0
193,30.7,15.9,0.0,45.5,24.46
194,25.3,18.4,0.0,44.8,24.25
195,25.2,17.7,0.02,38.0,21.73
196,24.2,17.3,0.0,23.8,25.0
197,26.9,15.1,0.0,53.9,25.0
198,29.5,16.6,0.0,69.1,25.0
199,29.6,15.8,0.0,56.2,25.0
200,24.3,19.0,0.0,32.5,25.0
201,27.8,16.6,0.0,48.3,23.13
202,26.8,16.5,0.0,46.6,24.71
203,22.2,17.8,0.0,43.2,25.0
204,24.8,16.6,0.0,64.2,25.0
205,21.5,19.8,0.0,45.8,22.7
206,26.0,16.3,0.0,36.9,23.88
207,24.6,16.2,0.0,46.0,24.64
208,24.1,15.1,1.5,37.3,24.26
209,23.8,15.6,0.0,25.7,24.81
210,24.2,14.3,1.57,25.9,23.39
211,26.7,16.9,0.0,47.5,25.0
212,27.6,14.9,0.0,40.0,25.0
213,22.9,15.4,0.0,56.5,24.09
214,25.6,13.9,0.0,42.3,23.87
215,27.7,13.8,0.0,32.9,25.0
216,24.1,16.6,2.66,35.1,24.42
217,23.5,14.6,0.0,46.2,25.0
218,22.5,11.9,2.59,20.0,23.57
219,22.0,13.0,0.0,47.6,24.02
220,21.1,12.0,0.0,55.7,25.0
221,26.0,15.2,0.0,48.2,25.0
222,26.2,18.3,0.0,61.9,25.0
223,22.1,12.3,1.57,42.7,24.2
224,22.0,11.8,0.0,39.8,25.0
225,20.7,10.7,1.5,57.8,25.0
226,22.6,12.1,1.17,42.4,25.0
227,21.0,13.7,0.66,44.0,23.71
228,21.7,11.9,0.0,26.0,23.64
229,21.7,14.5,0.0,46.7,25.0
230,23.5,10.4,0.0,45.7,25.0
231,23.8,11.9,0.0,52.5,25.0
232,21.6,13.1,0.0,41.8,25.0
233,25.0,11.6,0.0,22.0,25.0
234,23.3,12.5,0.0,41.6,21.55
235,20.7,12.0,0.0,48.8,22.06
236,20.4,12.5,0.0,52.8,21.38
237,22.7,8.0,0.0,37.7,19.43
238,21.0,13.6,0.0,44.6,23.88
239,20.1,15.9,0.0,32.7,22.47
240,20.3,12.7,0.0,57.3,24.94
241,20.5,12.6,0.5,36.7,22.52
242,19.6,13.9,0.0,50.0,21.17
243,19.9,12.5,0.0,52.1,24.86
244,21.1,7.4,1.79,34.5,25.0
245,26.6,9.9,0.0,39.6,19.25
246,19.5,11.0,1.15,42.2,25.0
247,20.1,9.4,0.0,35.1,23.55
248,22.2,6.2,0.0,41.1,20.04
249,22.8,12.8,0.0,46.5,22.37
250,22.5,11.0,0.0,28.7,19.89
251,23.7,13.9,0.0,35.4,25.0
252,22.3,12.3,0.57,68.5,22.64
253,20.7,8.7,0.0,37.0,25.0
254,22.5,10.3,0.0,42.7,21.66
255,15.2,10.6,0.0,31.5,25.0
256,22.6,7.4,0.0,37.8,24.29
257,22.0,10.9,0.21,60.8,19.78
258,17.7,10.1,0.0,42.1,23.04
259,20.6,11.1,0.54,54.3,23.81
260,24.0,10.7,2.48,53.0,23.28
261,19.1,8.3,1.53,36.0,22.61
262,18.1,9.7,0.0,46.3,25.0
263,18.6,10.1,2.89,39.8,17.82
264,20.2,11.9,0.0,60.1,19.7
265,22.1,9.1,1.08,33.1,20.98
266,18.4,4.9,0.0,34.5,24.13
267,22.0,7.7,1.04,50.2,21.96
268,20.6,12.7,2.96,49.1,19.85
269,20.1,5.9,0.0,49.0,24.58
270,20.2,9.3,0.0,36.1,22.27
271,20.4,5.9,0.0,38.0,24.27
272,20.9,12.0,1.6,25.9,24.87
273,20.1,9.3,1.96,49.1,23.12
274,23.0,9.7,0.0,39.9,23.58
275,16.5,6.5,2.08,44.7,22.74
276,21.1,8.4,0.0,50.9,24.55
277,18.4,7.3,0.0,54.7,21.66
278,15.8,11.0,0.0,53.9,25.0
279,19.1,3.5,0.0,45.1,18.32
280,20.6,7.3,0.0,38.6,19.52
281,19.3,6.3,0.0,48.1,17.52
282,16.7,11.7,0.0,48.2,22.02
283,17.7,8.5,0.25,40.8,19.7
284,21.2,10.9,0.0,46.7,25.0
285,19.6,7.4,2.02,47.5,22.76
286,21.6,5.0,0.0,49.7,20.21
287,19.3,5.8,0.0,49.0,19.79
288,22.0,5.3,0.53,38.2,17.83
289,16.7,4.6,1.71,49.6,19.09
290,18.1,5.9,0.0,45.3,24.08
291,20.5,5.9,0.0,46.8,21.99
292,22.2,4.9,0.39,39.8,23.19
293,20.3,2.9,0.0,55.8,20.73
294,20.8,7.2,0.54,35.5,22.07
295,22.9,7.9,0.0,52.0,20.15
296,20.4,7.5,0.0,33.4,18.2
297,24.4,4.8,0.0,56.7,21.91
298,21.5,9.5,0.0,55.7,20.87
299,18.7,7.7,0.0,57.8,19.25
300,20.6,7.3,0.0,40.6,23.43
301,19.7,6.7,0.0,33.4,21.09
302,23.0,4.4,0.0,33.2,16.32
303,19.8,8.7,0.0,34.3,15.65
304,19.8,8.6,0.0,27.6,20.37
305,21.2,2.0,0.0,34.2,21.36
306,22.6,5.0,0.0,47.0,18.6
307,21.4,7.3,0.99,38.0,17.32
308,21.5,8.2,0.0,47.9,18.87
309,21.8,9.6,0.81,52.4,19.85
310,19.4,6.3,0.0,49.1,22.81
311,21.6,7.5,0.0,48.8,16.65
312,21.9,9.8,0.0,57.6,21.29
313,19.4,6.8,0.0,57.0,19.37
314,21.1,6.7,0.0,61.2,21.27
315,22.1,6.4,0.0,44.4,21.06
316,21.0,7.7,0.0,49.6,20.75
317,20.8,7.3,0.38,46.7,20.44
318,22.2,8.6,0.0,53.9,19.04
319,18.5,7.4,1.57,38.3,19.22
320,27.1,5.7,1.73,47.8,18.76
321,24.7,9.2,0.0,43.1,17.01
322,21.6,11.6,0.07,48.2,15.19
323,23.0,6.1,0.0,62.3,19.72
324,20.9,8.9,2.54,40.5,17.56
325,21.3,11.3,0.82,51.0,16.4
326,23.1,8.9,0.42,34.6,19.28
327,22.8,8.8,0.0,44.6,20.66
328,22.0,6.8,0.63,55.2,19.67
329,24.0,9.0,0.0,38.6,19.98
330,22.9,6.7,0.69,51.9,18.67
331,25.1,5.2,1.61,53.3,18.81
332,22.9,8.0,0.0,33.3,18.71
333,24.4,8.6,0.0,60.2,19.01
334,27.3,4.4,0.0,34.9,16.77
335,23.2,9.4,0.0,57.6,16.9
336,29.3,11.4,0.0,45.4,16.33
337,24.6,9.2,0.0,44.3,16.11
338,27.3,10.8,0.1,68.2,20.27
339,27.9,9.5,0.0,47.9,18.78
340,30.3,10.6,0.0,40.9,23.33
341,26.5,9.2,0.0,45.7,17.93
342,26.2,8.9,0.0,51.5,17.97
343,25.7,6.1,0.0,50.6,15.05
344,21.7,9.4,0.0,34.7,22.49
345,25.0,8.1,0.0,33.8,18.54
346,27.9,6.9,0.0,49.2,20.16
347,24.5,8.9,1.85,46.9,15.77
348,28.6,11.2,0.0,34.5,21.28
349,29.9,15.2,0.0,48.0,17.2
350,28.4,8.8,0.0,48.8,16.5
351,26.7,9.6,0.0,46.9,16.57
352,25.8,15.7,0.0,38.3,18.11
353,27.3,10.2,0.0,57.0,14.38
354,26.1,11.9,2.06,61.0,17.95
355,27.8,7.8,0.0,40.3,15.99
356,25.9,9.7,0.81,40.0,17.13
357,26.5,12.1,0.0,39.3,17.56
358,29.3,9.3,0.0,39.1,17.51
359,27.2,12.1,0.0,54.1,20.87
360,30.4,8.8,0.42,54.0,19.17
361,30.7,10.5,0.0,49.9,17.44
362,27.1,13.1,0.0,36.2,17.06
363,27.1,11.1,0.0,32.2,17.47
364,30.5,9.5,0.0,41.2,14.87
365,30.5,9.0,0.0,39.7,16.62
