day_of_year,tmax,tmin,rainfall,humidity,radiation
155,29.1,17.2,0.0,42.0,21.64
156,29.6,16.1,0.0,44.7,19.6
157,27.5,14.5,0.0,71.8,25.0
158,33.6,17.1,0.0,54.7,23.26
159,31.6,16.4,0.0,56.1,22.0
160,32.8,16.2,0.64,62.2,20.85
161,29.6,16.7,0.0,61.3,18.59
162,30.3,21.0,0.0,47.2,20.74
163,23.7,16.8,0.0,47.9,18.89
164,26.6,15.8,0.0,46.3,24.17
165,26.1,14.9,0.0,45.3,22.06
166,26.6,13.6,0.0,65.3,23.94
167,27.3,17.6,0.99,62.4,22.78
168,28.4,16.9,0.0,45.2,24.58
169,28.5,17.4,0.0,41.6,19.84
170,31.0,13.2,0.0,59.4,22.59
171,27.2,17.4,0.93,66.4,18.24
172,25.4,12.5,0.53,50.8,23.57
173,23.8,12.4,0.0,55.5,23.12
174,26.9,13.1,0.0,71.1,22.41
175,26.7,14.9,0.0,48.3,23.96
176,24.8,12.5,0.0,67.9,21.42
177,24.5,12.5,2.76,74.3,19.6
178,23.8,11.0,0.0,55.9,23.82
179,26.1,17.0,0.0,52.4,22.85
180,23.4,12.7,1.64,47.9,23.74
181,25.0,12.2,0.29,43.8,21.37
182,20.6,11.1,0.0,50.7,23.81
183,22.7,15.2,0.0,36.8,22.48
184,25.7,8.4,2.48,60.0,21.03
185,24.3,10.8,0.0,68.9,25.0
186,25.4,12.2,0.0,60.3,19.81
187,24.2,14.6,2.92,41.9,20.15
188,26.1,8.8,1.47,65.9,21.92
189,23.7,13.9,0.0,42.4,21.75
190,23.1,13.6,0.0,51.7,20.64
191,23.1,12.4,0.0,48.4,23.39
192,25.2,15.3,0.0,61.6,21.75
193,23.3,11.1,0.0,49.7,21.09
194,20.9,12.6,1.96,57.2,23.41
195,24.9,14.2,0.0,45.0,22.6
196,22.4,15.4,0.0,43.9,24.02
197,21.5,13.7,0.0,56.7,20.57
198,19.3,10.6,0.0,67.9,24.75
199,21.0,13.5,1.03,59.4,20.79
200,23.6,11.7,0.0,40.5,23.16
201,24.0,13.5,0.97,67.1,19.24
202,24.8,10.2,3.07,59.2,19.04
203,26.2,12.2,0.0,45.2,21.57
204,24.6,8.9,0.0,59.7,25.0
205,20.8,8.4,0.0,45.1,23.18
206,20.5,10.6,3.32,58.0,21.82
207,21.0,10.5,0.0,64.0,25.0
208,20.3,9.5,0.0,46.8,20.9
209,23.4,11.7,0.0,55.3,19.47
210,21.5,10.0,0.0,62.0,22.36
211,19.7,11.5,0.0,65.1,16.41
212,21.0,11.6,2.59,47.2,22.49
213,22.8,10.6,0.0,53.4,22.67
214,21.6,6.3,0.0,52.8,19.83
215,22.4,11.8,0.0,59.8,19.27
216,24.5,12.4,0.0,59.2,23.49
217,19.1,6.7,0.0,56.5,20.14
218,22.0,10.6,0.0,63.5,23.49
219,20.8,10.6,0.0,33.7,22.57
220,20.2,10.4,0.0,51.5,24.35
221,20.2,10.4,0.18,67.5,17.78
222,19.9,13.9,0.0,42.9,21.24
223,20.1,9.2,0.0,65.9,22.21
224,18.6,7.4,0.0,68.2,21.91
225,18.8,8.7,0.0,49.0,19.65
226,14.2,11.2,0.0,51.6,23.36
227,14.4,8.5,0.0,59.7,22.34
228,20.5,7.3,0.0,37.9,21.69
229,17.7,7.1,0.0,46.6,20.94
230,21.6,7.9,0.0,67.4,19.83
231,18.5,4.4,0.0,70.6,22.94
232,16.2,9.3,0.0,50.8,19.0
233,18.4,5.9,2.84,58.1,20.49
234,15.4,8.8,0.0,63.1,21.79
235,16.2,4.9,0.0,45.7,22.11
236,17.3,6.4,0.0,46.2,17.99
237,16.0,8.7,0.99,62.0,19.31
238,17.4,4.9,0.0,65.0,18.5
239,16.6,6.7,0.0,72.4,22.6
240,17.8,8.9,0.0,71.3,17.41
241,18.2,5.8,0.0,61.5,19.79
242,16.6,7.2,1.63,49.6,20.01
243,15.6,6.4,0.0,59.3,19.19
244,19.4,8.4,0.0,54.2,21.09
245,16.6,6.6,0.0,50.8,15.08
246,16.0,6.4,0.0,43.7,17.72
247,16.4,3.8,0.95,49.5,22.28
248,11.2,4.9,0.0,45.4,17.94
249,16.7,6.6,1.63,56.8,18.05
250,14.6,8.7,0.0,47.1,18.23
251,16.6,4.3,1.4,48.2,16.82
252,14.2,5.7,0.0,57.7,17.51
253,14.6,3.0,0.0,65.0,22.56
254,12.3,2.1,0.0,51.6,18.32
255,12.4,4.8,0.0,66.4,19.59
256,14.1,5.7,0.0,72.7,19.8
257,15.5,8.0,1.84,45.7,20.03
258,17.8,3.3,0.06,43.7,19.7
259,13.8,5.2,0.0,64.3,19.1
260,12.3,2.2,0.0,59.9,18.92
261,15.4,2.8,0.0,61.7,18.9
262,14.6,1.5,0.0,61.7,16.42
263,16.6,2.4,0.49,48.5,17.77
264,15.1,3.2,0.0,51.2,16.97
265,13.0,5.8,0.0,59.0,19.78
266,12.8,4.7,0.0,71.2,17.65
267,14.3,6.2,0.0,55.1,18.84
268,16.2,2.2,0.0,63.0,18.5
269,16.1,3.1,0.0,50.3,17.59
270,14.4,3.7,0.0,54.7,21.89
271,15.8,3.3,0.23,43.6,16.66
272,14.6,3.6,0.0,60.1,19.37
273,14.4,4.0,3.28,40.7,16.71
274,15.9,6.8,0.0,63.9,17.89
275,13.5,4.0,0.0,63.1,18.19
276,15.8,6.1,0.0,62.6,20.6
277,11.1,6.2,0.0,51.6,20.04
278,14.8,0.6,0.66,60.0,18.49
279,15.4,2.6,0.0,71.9,19.73
280,16.3,2.6,0.0,67.1,19.86
281,15.3,3.1,0.0,44.7,18.93
282,14.5,3.1,0.0,39.8,17.88
283,15.5,1.5,0.0,47.7,17.65
284,13.6,5.2,0.0,49.8,16.36
285,14.1,2.6,1.31,54.5,17.09
286,12.8,5.5,1.8,34.7,17.49
287,17.2,4.0,0.0,52.1,14.97
288,11.5,3.4,0.0,51.0,17.28
289,15.7,4.1,0.53,63.1,18.23
290,17.6,0.1,1.62,56.2,16.14
291,18.0,3.9,0.0,30.4,16.67
292,13.3,1.1,0.0,53.8,17.73
293,15.7,0.3,1.32,30.9,16.42
294,18.0,5.1,0.0,54.3,16.93
295,16.7,2.8,0.0,33.9,13.98
296,16.5,2.4,1.35,57.4,16.22
297,20.3,4.7,0.0,46.4,16.99
298,14.9,2.4,0.0,48.1,14.46
299,16.4,4.3,3.22,49.5,17.24
300,13.9,1.1,0.0,60.5,14.19
301,14.8,2.4,0.84,59.3,19.38
302,14.0,2.6,2.02,71.7,14.5
303,18.7,2.3,1.93,44.9,17.13
304,11.8,0.3,0.0,66.6,14.34
305,18.3,1.4,0.0,49.3,21.52
306,15.5,2.5,0.0,57.3,16.32
307,15.4,4.5,0.0,62.7,16.15
308,18.5,0.6,0.0,57.5,15.44
309,16.9,-0.8,0.0,59.5,14.01
310,15.4,0.4,2.42,51.6,16.61
311,16.4,-0.6,1.99,64.0,18.25
312,15.0,1.6,0.0,55.0,15.81
313,16.0,2.2,0.0,43.3,12.96
314,20.4,2.0,0.0,48.5,13.71
315,23.2,2.3,1.21,59.7,15.86
316,18.1,-1.4,2.18,55.2,12.16
317,13.7,2.0,0.0,55.1,15.69
318,18.0,1.4,1.18,52.8,14.75
319,16.4,-0.1,0.13,46.5,16.4
320,17.5,3.7,0.0,68.8,17.85
321,16.3,3.4,0.67,79.6,13.55
322,15.3,2.1,0.34,41.1,10.74
323,20.0,2.9,0.0,71.3,17.3
324,17.6,1.6,0.83,66.1,15.9
325,22.6,3.1,0.1,35.5,17.6
326,18.8,1.8,0.78,61.7,14.91
327,20.6,1.3,0.0,51.6,16.96
328,18.6,2.5,0.0,67.0,15.13
329,20.7,2.0,0.0,62.3,19.08
330,16.9,4.0,0.0,72.7,16.73
331,21.4,1.4,0.0,60.4,12.48
332,18.4,3.2,0.0,52.5,15.09
333,19.0,0.8,3.13,45.4,11.7
334,21.1,0.6,0.0,72.6,14.71
335,20.6,6.8,0.0,71.1,14.47
336,17.1,2.4,0.0,59.4,14.98
337,21.0,4.3,0.0,31.4,17.17
338,18.7,2.0,0.0,51.4,13.37
339,20.7,0.4,0.0,48.0,13.93
340,15.8,5.2,0.0,48.0,14.47
341,19.4,4.3,0.0,47.1,13.47
342,19.6,4.4,0.0,38.8,12.65
343,21.8,6.3,0.0,44.6,13.35
344,20.1,4.9,0.0,55.4,18.35
345,23.2,5.8,0.0,48.5,13.4
346,22.4,5.9,0.0,59.3,12.28
347,21.6,4.6,0.0,61.6,15.73
348,19.4,-0.9,2.35,40.3,13.37
349,21.8,3.7,0.0,40.2,16.1
350,20.1,3.4,0.0,61.4,12.47
351,21.8,4.0,0.0,56.7,13.84
352,22.0,0.9,0.0,63.7,10.74
353,21.7,1.1,1.89,57.0,14.08
354,26.4,8.3,0.82,55.1,10.44
355,23.4,3.2,0.0,61.6,12.42
356,25.9,-0.2,0.0,44.5,17.09
357,25.7,7.9,0.0,64.4,11.65
358,22.5,0.3,1.89,63.6,13.01
359,22.2,8.0,0.0,66.4,13.41
360,24.0,5.7,1.12,56.3,12.37
361,23.9,-1.2,0.0,40.1,18.28
362,22.6,5.5,0.0,49.6,17.5
363,24.4,5.0,0.35,62.6,15.2
364,25.4,1.8,0.0,61.1,13.15
365,25.8,5.4,1.31,77.3,14.31
