day_of_year,tmax,tmin,rainfall,humidity,radiation
132,29.8,15.5,1.43,28.3,20.85
133,28.0,18.1,1.24,74.5,18.28
134,30.1,14.0,0.0,68.0,19.53
135,27.6,17.4,2.7,49.7,19.42
136,29.8,13.9,0.0,60.5,22.47
137,32.8,16.7,0.0,38.8,19.38
138,25.8,15.8,0.0,34.3,16.13
139,25.9,14.7,0.0,86.3,22.43
140,27.6,15.2,0.0,47.7,19.85
141,27.1,13.1,0.0,65.7,21.84
142,30.2,18.8,1.1,66.5,17.62
143,27.3,16.8,0.0,55.5,18.89
144,27.0,13.7,1.57,61.1,19.54
145,29.8,16.5,3.11,48.5,17.17
146,25.0,17.8,0.0,65.7,22.78
147,26.6,14.6,0.0,66.1,19.19
148,28.3,15.9,0.0,68.6,19.8
149,29.9,18.5,0.0,70.7,24.62
150,27.6,17.0,0.0,56.6,22.12
151,29.7,12.8,2.43,65.8,21.93
152,26.7,15.7,0.0,69.4,20.85
153,30.2,12.7,0.0,67.2,24.74
154,26.4,16.4,0.0,62.9,23.87
155,28.6,14.6,0.0,57.2,20.45
156,26.6,9.5,0.0,46.8,21.67
157,24.5,12.8,0.0,62.3,19.66
158,27.8,13.4,0.19,66.1,23.37
159,26.7,16.9,0.0,57.2,23.88
160,24.9,14.5,0.0,76.1,24.65
161,24.7,12.9,2.99,63.7,20.22
162,27.7,13.5,0.0,61.1,21.43
163,26.2,12.6,0.0,74.0,18.67
164,24.6,11.4,0.05,65.4,19.59
165,24.9,14.7,0.0,56.7,21.17
166,20.9,14.1,0.0,67.2,22.63
167,24.5,14.9,0.66,70.7,17.8
168,26.9,13.5,0.0,38.5,21.4
169,21.1,11.8,0.0,55.1,21.07
170,27.0,12.6,0.0,57.7,19.76
171,22.7,12.4,0.0,52.5,16.79
172,27.5,15.7,2.89,58.2,22.5
173,23.8,15.6,0.0,60.3,19.42
174,22.6,14.3,0.0,61.9,16.82
175,23.7,13.4,0.0,59.3,20.84
176,24.4,12.5,2.26,67.5,22.64
177,21.3,11.9,2.47,62.1,15.45
178,22.9,16.7,0.0,61.0,20.79
179,21.4,12.3,2.08,59.3,24.05
180,24.9,12.7,0.94,51.6,21.19
181,21.8,11.2,0.0,39.4,19.41
182,22.5,11.8,0.0,44.5,22.64
183,22.7,8.0,0.0,47.6,19.92
184,22.2,11.8,0.0,67.6,21.62
185,21.7,12.9,0.0,68.5,21.44
186,22.8,10.3,0.0,67.1,18.89
187,22.1,12.3,0.0,57.3,19.31
188,21.6,12.8,0.0,46.6,21.14
189,20.3,9.8,0.0,58.7,20.4
190,16.6,11.1,0.0,58.5,21.78
191,22.9,12.4,0.0,59.4,21.51
192,23.9,12.8,1.64,55.4,17.32
193,19.7,6.7,0.0,43.9,20.56
194,19.2,9.9,1.36,68.5,17.99
195,19.7,8.3,2.45,62.8,21.33
196,21.0,9.7,0.0,81.4,22.21
197,19.8,9.0,0.14,71.0,18.14
198,22.2,7.3,0.0,56.2,20.75
199,21.7,6.1,0.0,63.5,18.08
200,21.7,9.1,0.0,58.2,18.91
201,20.0,9.8,1.67,63.7,17.51
202,19.0,7.2,1.66,57.1,17.09
203,20.4,12.8,1.36,75.9,19.88
204,20.4,8.5,0.83,59.0,20.41
205,19.1,11.6,0.0,60.0,22.2
206,17.6,11.1,2.73,78.0,24.31
207,18.7,14.3,0.0,68.0,21.49
208,15.8,10.1,0.0,64.8,21.04
209,14.4,7.9,0.0,60.8,17.91
210,11.9,14.0,0.0,54.3,21.21
211,18.2,11.8,0.0,53.8,22.0
212,18.7,8.0,0.0,49.9,19.01
213,16.9,9.1,0.0,58.1,18.69
214,19.0,6.1,0.0,56.1,19.95
215,14.5,9.1,0.0,41.8,18.79
216,16.9,5.5,2.83,65.9,21.36
217,16.4,7.3,2.8,75.0,20.41
218,16.9,7.9,2.98,66.8,20.17
219,14.4,7.3,0.0,57.1,22.14
220,16.8,6.2,0.0,60.7,19.56
221,12.8,6.1,0.0,64.6,21.25
222,15.9,7.9,0.0,75.1,24.26
223,15.3,5.5,2.46,47.5,17.42
224,17.5,4.7,0.0,49.5,20.23
225,19.1,7.2,1.99,57.5,22.24
226,15.4,1.7,0.0,57.9,21.1
227,12.8,6.9,1.99,49.1,19.47
228,17.4,8.9,1.57,65.0,18.4
229,15.6,7.4,2.04,68.4,21.28
230,16.5,6.4,0.0,58.1,16.86
231,13.0,9.0,0.0,47.2,20.71
232,15.9,2.6,0.0,70.2,20.64
233,15.9,7.2,0.0,68.5,18.39
234,14.5,10.1,0.32,58.9,21.15
235,13.3,5.8,2.92,63.8,18.9
236,13.3,6.9,0.0,64.5,18.32
237,13.3,2.9,0.0,61.6,19.83
238,12.9,4.5,0.0,59.3,19.82
239,15.6,6.8,0.0,72.8,19.46
240,13.6,4.5,0.0,60.1,20.09
241,13.9,6.0,0.0,59.2,17.98
242,14.6,6.1,3.02,70.5,20.2
243,13.3,1.3,0.0,57.8,16.46
244,12.9,6.5,0.0,56.7,16.53
245,12.9,0.2,1.18,59.9,18.65
246,14.6,5.0,1.4,47.6,21.58
247,14.9,4.8,2.49,75.7,19.03
248,12.8,2.0,0.0,61.3,16.75
249,11.7,3.0,0.0,52.7,21.28
250,12.8,3.8,1.1,64.6,21.9
251,13.7,2.6,0.0,67.9,16.49
252,13.4,0.9,1.65,59.3,16.99
253,12.1,1.6,0.0,70.6,20.08
254,17.2,4.7,1.82,59.7,21.67
255,16.1,3.6,0.0,62.4,17.09
256,13.2,4.9,0.0,80.3,17.96
257,11.3,2.9,0.0,71.6,18.73
258,11.9,1.9,0.0,47.0,16.66
259,13.3,3.4,0.0,60.6,16.88
260,15.0,7.2,0.0,64.0,18.97
261,12.2,0.9,0.0,66.4,18.21
262,16.9,0.7,0.0,52.6,18.93
263,11.6,6.2,0.0,66.5,17.53
264,11.9,1.3,0.0,66.7,14.78
265,12.6,1.3,1.2,60.5,19.72
266,13.0,0.9,2.45,62.1,22.05
267,11.5,-0.9,0.0,53.8,19.04
268,10.6,1.9,0.0,62.5,16.83
269,11.7,2.5,0.0,69.4,20.44
270,8.6,1.1,3.47,61.1,14.49
271,11.9,0.4,0.0,64.9,19.49
272,12.3,-0.4,0.0,42.3,15.21
273,10.4,1.0,0.83,52.6,18.72
274,11.5,3.0,0.93,63.2,16.8
275,13.5,-0.5,0.0,73.1,14.85
276,10.1,0.1,0.0,83.4,17.52
277,10.8,0.7,0.0,51.0,16.47
278,11.7,1.7,0.0,60.1,16.76
279,11.5,0.1,1.83,63.1,15.06
280,12.9,-1.4,0.0,66.1,18.6
281,7.4,1.6,0.0,46.1,20.33
282,15.1,-1.1,0.0,77.7,17.76
283,14.6,2.4,0.0,70.1,17.71
284,14.1,1.9,0.0,68.9,19.26
285,17.4,0.2,0.63,67.2,16.12
286,15.8,1.6,0.0,68.8,18.74
287,9.3,3.3,1.65,56.6,17.31
288,8.9,2.5,0.0,53.1,15.71
289,9.9,0.5,0.0,61.5,13.63
290,13.2,1.9,3.28,71.7,14.27
291,11.4,2.2,0.0,74.5,15.93
292,13.4,-0.6,0.0,46.5,10.0
293,15.9,0.2,2.92,60.7,12.97
294,15.5,1.2,0.7,62.4,15.26
295,12.4,2.6,0.0,69.4,14.17
296,16.5,1.3,0.0,72.1,15.3
297,12.8,2.1,0.0,39.0,12.84
298,13.3,-2.0,0.0,56.0,16.32
299,12.4,0.9,0.0,59.4,12.84
300,14.2,4.8,1.28,45.7,16.24
301,15.6,-2.1,0.0,57.0,13.33
302,12.2,3.0,0.0,56.1,12.37
303,9.8,0.7,0.27,61.9,15.54
304,13.5,3.0,0.0,78.5,16.92
305,14.2,-2.1,2.09,67.8,16.01
306,14.3,-1.3,0.0,85.8,14.3
307,10.6,-0.6,0.0,61.5,14.55
308,9.2,0.6,2.98,43.8,16.03
309,15.0,-1.6,0.0,54.5,15.05
310,14.4,1.6,3.07,66.8,17.42
311,11.7,1.0,0.0,51.0,15.36
312,15.1,-1.7,0.0,50.1,13.1
313,15.9,0.8,0.0,73.5,13.02
314,11.0,4.2,0.0,65.8,16.4
315,14.2,-2.1,0.0,58.8,15.8
316,13.1,-0.1,2.95,52.5,14.8
317,11.8,1.0,0.85,48.3,14.52
318,15.6,0.2,0.0,40.1,16.55
319,12.6,-1.0,0.0,60.1,14.64
320,9.8,-0.6,2.13,72.3,14.24
321,19.0,-2.0,0.0,60.2,18.29
322,18.5,2.0,1.48,50.6,11.12
323,15.1,-0.3,2.85,62.4,13.08
324,14.3,2.7,0.0,72.9,12.31
325,16.6,-0.7,0.0,67.3,12.28
326,16.7,-0.0,1.18,51.9,12.01
327,12.7,2.8,0.75,68.3,14.2
328,14.9,2.1,0.0,60.4,19.74
329,12.8,-0.6,0.0,58.0,10.31
330,18.2,1.4,2.87,49.3,16.48
331,16.1,3.4,0.0,74.0,15.12
332,16.2,-1.7,2.52,50.1,13.74
333,16.9,3.8,0.0,60.1,14.93
334,17.4,-1.1,0.0,54.8,13.54
335,16.8,-1.5,0.0,56.1,13.15
336,22.3,-1.0,0.0,59.3,16.13
337,24.3,-0.4,1.45,52.3,12.09
338,17.9,2.7,0.0,59.0,13.17
339,16.5,-0.1,2.74,72.2,15.01
340,18.6,-0.1,0.0,57.3,12.04
341,18.9,-0.6,0.0,37.7,14.36
342,17.7,2.3,2.93,61.5,12.69
343,20.4,-1.1,0.0,61.9,11.71
344,19.5,4.1,0.0,65.5,15.22
345,17.6,2.9,0.0,47.7,13.48
346,19.9,1.2,0.0,70.2,16.12
347,19.7,2.7,0.0,61.0,14.67
348,19.9,3.8,0.0,47.6,10.95
349,22.1,4.5,0.0,68.4,12.91
350,20.2,-0.6,3.88,52.4,11.75
351,20.8,-3.4,0.0,71.8,10.76
352,19.6,2.4,0.0,59.9,16.92
353,18.7,-1.6,0.0,54.3,14.52
354,20.6,1.8,3.07,67.4,13.26
355,20.2,4.1,0.0,63.9,13.7
356,19.1,-1.8,0.0,64.0,10.22
357,18.5,1.5,0.0,57.3,11.7
358,20.3,5.0,0.0,46.9,11.32
359,22.7,5.7,1.45,57.5,12.15
360,22.1,3.2,0.0,69.2,11.27
361,21.6,3.3,0.0,73.6,13.41
362,18.7,4.1,2.04,56.6,12.96
363,23.9,2.4,0.0,60.2,11.96
364,23.4,5.3,0.0,59.5,9.84
365,20.3,6.0,0.0,67.9,12.85
