day_of_year,tmax,tmin,rainfall,humidity,radiation
122,36.0,18.9,2.08,56.0,23.09
123,34.8,20.7,0.0,46.9,22.7
124,35.4,19.8,0.45,58.6,25.0
125,35.0,21.2,0.0,50.1,24.34
126,36.5,20.9,0.0,35.6,23.42
127,37.3,20.6,0.0,68.3,23.54
128,40.0,22.7,1.36,58.0,19.31
129,38.5,18.4,2.04,54.8,20.6
130,38.0,19.7,0.0,47.5,23.71
131,37.6,20.3,0.0,45.3,23.49
132,31.5,17.1,0.0,30.6,22.21
133,37.3,20.2,0.0,52.2,20.95
134,34.6,24.2,2.47,57.3,22.2
135,36.5,18.6,0.0,42.0,22.32
136,35.8,18.5,0.0,50.4,19.23
137,33.1,21.8,0.0,26.3,23.04
138,31.9,18.1,0.19,49.8,19.38
139,36.7,17.5,0.0,34.9,25.0
140,33.6,20.1,0.0,56.3,22.66
141,32.5,19.5,0.0,48.3,21.8
142,35.8,19.6,0.0,51.9,24.79
143,33.5,19.2,0.0,38.5,22.35
144,34.7,16.5,0.0,35.1,24.21
145,32.4,18.1,2.07,40.7,22.34
146,30.1,19.6,0.0,52.7,25.0
147,31.5,19.8,0.0,59.5,20.87
148,33.5,14.4,0.0,59.0,23.92
149,31.0,21.2,0.0,50.4,25.0
150,33.7,19.6,0.0,43.0,25.0
151,34.4,20.9,0.0,57.3,20.01
152,32.8,19.5,1.72,57.4,21.88
153,33.0,17.5,0.0,61.3,25.0
154,33.0,16.0,0.0,44.1,23.53
155,32.8,19.3,0.51,55.9,25.0
156,30.8,17.9,0.0,41.5,20.92
157,33.9,22.6,0.0,57.3,25.0
158,32.3,20.0,0.0,51.1,22.58
159,32.2,18.0,0.0,52.3,23.26
160,36.3,22.6,0.0,51.0,24.37
161,31.2,17.7,0.0,34.1,25.0
162,31.6,19.5,0.0,37.7,25.0
163,33.5,18.0,0.0,37.2,21.4
164,33.1,18.3,0.0,42.1,21.57
165,25.7,16.3,0.0,64.8,23.11
166,34.6,16.6,0.0,46.3,23.55
167,30.4,17.3,0.0,54.3,25.0
168,27.4,16.8,0.0,35.3,23.84
169,25.5,17.3,0.0,49.4,23.18
170,30.2,19.0,0.0,39.0,21.86
171,28.2,18.1,0.0,42.3,25.0
172,31.0,18.4,0.0,49.1,25.0
173,31.3,19.7,0.0,25.5,25.0
174,29.6,16.9,0.0,62.2,24.96
175,27.3,13.6,0.0,49.6,22.69
176,30.6,17.6,0.0,48.2,25.0
177,28.5,15.6,0.0,43.3,25.0
178,29.9,18.8,0.0,54.6,25.0
179,24.4,14.0,0.0,51.6,25.0
180,25.2,17.6,0.0,44.1,22.87
181,25.1,17.5,0.31,47.0,24.94
182,31.2,15.0,0.0,60.7,25.0
183,25.8,13.9,0.0,49.6,25.0
184,23.5,13.3,0.0,60.6,25.0
185,26.9,18.2,0.0,47.4,23.48
186,28.4,18.9,0.0,53.7,19.12
187,27.2,15.3,0.0,45.4,24.13
188,24.9,15.4,0.0,59.8,19.14
189,26.5,16.2,0.0,52.2,22.86
190,24.3,16.8,0.0,60.9,23.74
191,27.7,14.6,0.0,51.4,24.22
192,26.6,13.7,0.0,39.1,24.35
193,24.3,14.3,0.0,49.9,22.19
194,23.8,14.2,0.0,50.8,23.15
195,24.8,16.3,0.0,46.7,25.0
196,22.1,14.3,0.0,48.5,20.7
197,23.7,13.9,0.0,50.7,25.0
198,23.8,14.8,0.0,64.5,25.0
199,23.2,12.0,0.63,41.5,20.83
200,24.1,14.0,0.0,45.8,23.5
201,28.6,14.7,0.0,42.4,25.0
202,21.9,15.8,0.0,52.5,21.07
203,23.7,16.4,0.57,50.6,25.0
204,27.6,14.2,0.0,56.7,25.0
205,21.2,11.2,0.0,40.6,22.15
206,23.5,12.7,0.24,41.4,25.0
207,23.8,11.2,0.0,57.2,20.1
208,23.7,13.2,0.0,62.6,23.26
209,23.0,12.9,0.0,63.7,22.83
210,20.8,11.0,0.0,69.6,19.95
211,23.7,12.3,0.06,68.4,22.08
212,20.2,15.6,1.71,41.8,25.0
213,23.9,14.5,0.0,68.4,21.72
214,24.0,13.0,0.0,55.3,23.12
215,23.0,13.9,0.0,54.6,24.31
216,19.0,9.3,0.0,36.8,21.9
217,22.8,12.8,0.52,57.4,25.0
218,23.5,9.9,0.0,46.3,24.79
219,24.9,11.6,2.33,61.9,23.79
220,18.2,12.8,0.64,55.7,23.29
221,23.2,9.8,0.0,50.7,25.0
222,19.8,12.8,0.0,58.5,24.02
223,19.9,9.9,1.44,59.5,24.73
224,23.3,10.8,1.89,41.6,21.37
225,21.9,10.4,0.0,52.1,23.98
226,19.2,10.3,3.27,54.9,20.57
227,22.3,9.5,0.0,52.4,24.43
228,19.7,11.0,0.0,46.9,22.62
229,22.1,8.9,0.0,40.1,20.06
230,21.8,8.8,0.0,50.8,25.0
231,19.6,6.9,3.03,36.8,21.81
232,16.1,11.3,0.0,32.8,25.0
233,20.6,7.7,0.0,61.1,21.3
234,19.6,9.9,0.54,44.6,23.48
235,20.8,5.8,0.0,58.9,25.0
236,17.0,8.6,0.0,58.2,20.37
237,20.5,8.8,0.0,62.0,21.46
238,23.1,7.8,0.46,52.2,23.42
239,19.0,7.3,0.94,30.1,22.91
240,19.9,5.3,1.37,20.0,16.74
241,22.4,5.3,0.0,44.5,24.81
242,20.2,9.4,0.0,52.4,18.96
243,18.6,6.9,0.0,56.9,20.9
244,17.7,12.5,0.0,66.6,20.41
245,16.5,9.3,0.0,43.0,21.99
246,17.2,9.5,0.0,65.4,17.31
247,19.3,7.2,0.0,34.4,20.33
248,15.5,8.9,0.0,39.0,17.48
249,15.3,5.0,0.0,57.3,22.32
250,20.3,7.9,0.0,43.8,21.35
251,19.1,6.8,1.45,57.9,22.97
252,17.6,7.1,0.0,50.5,21.96
253,19.7,5.9,0.0,61.5,23.79
254,21.2,6.5,0.0,50.1,19.52
255,22.1,4.5,0.0,41.0,17.6
256,21.8,7.2,0.0,45.7,18.28
257,18.7,8.8,0.0,41.6,24.59
258,19.0,6.8,2.51,57.2,23.13
259,16.7,7.5,2.27,56.5,23.23
260,19.1,8.2,0.0,58.6,22.07
261,21.4,8.3,0.0,47.6,20.04
262,19.5,8.9,0.0,53.3,18.63
263,19.4,5.7,0.0,60.7,20.37
264,14.7,5.0,0.0,63.6,19.31
265,16.8,3.7,0.0,72.7,22.57
266,19.4,4.5,1.95,44.7,22.68
267,18.8,11.1,0.0,46.3,23.25
268,14.3,5.4,1.79,37.0,21.73
269,16.8,6.7,1.87,53.9,16.26
270,18.0,4.1,0.0,45.0,19.3
271,16.2,6.6,0.0,46.1,18.42
272,17.3,5.7,0.0,62.9,20.68
273,21.2,2.4,0.0,38.9,21.2
274,19.2,8.8,0.0,42.1,22.16
275,20.4,9.2,0.0,57.3,16.68
276,18.7,7.0,0.0,48.6,23.75
277,17.6,4.5,0.0,53.6,20.54
278,19.7,4.0,1.08,52.0,19.86
279,16.2,5.2,0.0,43.6,19.34
280,16.9,4.6,0.0,57.5,18.08
281,20.2,2.9,0.0,61.2,19.58
282,20.3,3.6,0.0,33.4,18.38
283,19.9,4.4,0.0,69.3,21.22
284,19.0,1.0,0.0,49.4,18.44
285,16.6,3.6,0.0,52.8,20.69
286,19.7,5.3,1.93,37.8,21.33
287,21.9,6.3,0.0,46.7,14.71
288,20.6,3.5,0.0,42.3,19.79
289,19.2,5.6,0.0,41.6,17.82
290,16.4,2.8,0.0,50.1,19.15
291,19.3,4.5,0.0,58.7,17.59
292,20.7,4.3,0.0,61.8,19.69
293,21.4,2.7,0.0,55.8,20.09
294,20.3,4.2,0.0,40.7,15.77
295,18.9,3.3,0.0,59.0,16.32
296,18.0,4.6,0.31,72.2,20.5
297,18.2,6.4,0.0,46.8,16.45
298,21.2,3.2,0.0,56.9,19.55
299,19.5,4.7,0.0,44.4,16.12
300,18.5,5.8,2.64,47.7,16.56
301,17.2,4.5,0.57,61.7,18.41
302,22.4,-0.1,0.32,47.8,17.43
303,17.5,2.6,0.0,56.2,20.05
304,17.6,2.6,0.0,54.0,21.09
305,20.1,3.8,1.05,60.9,17.93
306,19.1,7.7,0.0,36.4,17.38
307,20.6,4.1,0.0,29.4,20.46
308,20.6,3.5,0.0,58.2,20.25
309,16.9,5.0,0.5,34.6,17.51
310,17.3,1.0,0.0,46.9,19.17
311,20.6,6.9,0.0,46.8,17.46
312,19.2,4.9,0.23,45.7,20.61
313,21.1,5.7,0.0,51.4,16.23
314,20.8,1.5,0.0,52.1,18.83
315,22.4,6.7,0.0,52.3,17.03
316,21.1,5.1,0.0,71.0,14.93
317,22.8,6.0,0.0,29.5,18.77
318,19.1,6.2,2.19,57.1,18.81
319,16.7,4.4,0.3,55.7,16.03
320,19.4,5.3,0.0,62.1,16.13
321,20.3,3.8,2.3,60.7,17.67
322,23.3,4.2,1.11,49.2,17.06
323,20.9,-1.1,0.0,51.2,16.31
324,17.7,1.3,0.0,60.8,17.87
325,21.9,4.1,1.27,51.9,16.8
326,24.8,5.7,0.0,44.9,19.98
327,22.2,4.0,0.0,48.6,16.89
328,24.5,4.2,1.87,43.7,18.77
329,20.5,4.3,1.28,49.3,18.18
330,24.5,2.1,0.0,64.5,18.76
331,20.6,9.3,0.56,51.1,19.26
332,23.3,7.0,0.0,52.1,16.65
333,20.5,11.7,0.0,43.4,17.78
334,24.5,7.4,1.64,58.0,16.72
335,27.0,3.5,4.04,48.3,18.14
336,19.9,4.1,2.82,52.5,17.61
337,23.0,6.2,0.0,51.2,15.78
338,22.5,5.2,0.0,74.6,17.23
339,25.3,6.9,1.26,40.7,17.06
340,21.2,4.3,1.06,48.0,16.23
341,23.9,7.1,0.0,39.1,17.34
342,24.4,5.0,2.38,62.7,15.76
343,27.3,7.0,0.0,56.5,16.67
344,22.7,8.2,0.0,54.6,13.73
345,25.7,5.6,0.0,47.4,14.41
346,27.9,7.1,0.0,54.5,13.16
347,26.0,6.1,0.0,65.4,17.8
348,25.5,7.1,0.0,63.7,16.46
349,22.9,4.5,0.0,40.1,17.7
350,29.5,6.1,0.0,34.5,16.28
351,24.9,4.0,0.0,47.8,17.27
352,24.3,5.3,0.0,74.5,15.35
353,26.8,8.8,0.0,42.6,11.59
354,27.6,8.6,0.0,38.3,15.12
355,22.4,8.9,0.0,40.7,17.78
356,26.0,8.4,0.0,39.2,16.92
357,25.4,6.5,0.0,58.8,13.68
358,28.0,11.7,0.0,50.7,18.16
359,27.5,7.4,1.62,57.9,18.32
360,26.8,9.6,1.7,44.7,14.47
361,29.9,6.8,1.54,43.1,20.46
362,28.0,6.3,0.0,42.2,19.26
363,26.7,6.3,0.0,30.6,15.37
364,31.0,9.1,2.65,40.4,17.28
365,27.7,7.4,1.59,35.5,13.03
