t,hum%,Tmax,Tmin,Rain ,rainydays,Hum
81,54,18.5,3.5,0.3,1,0.54
82,64.8,17.5,7.5,0,0,0.648
83,57.8,21.5,4.5,0,0,0.578
84,50.7,20.5,6.5,0,0,0.507
85,46.2,24.5,5.5,0,0,0.462
86,69.3,18.5,7.5,2,1,0.693
87,86.5,10.5,8.5,2,1,0.865
88,56.8,21.5,4.5,0.1,1,0.568
89,58.5,19.5,9.5,0.1,1,0.585
90,50.7,26.5,7.5,0,0,0.507
91,65.2,23.5,13.5,0,0,0.652
92,72.8,19.5,9.5,0,0,0.728
93,48.2,23.5,3.5,0,0,0.482
94,41,27.5,15.5,0,0,0.41
95,52.2,26.5,18.5,2,1,0.522
96,66.8,21.5,9.5,13.4,1,0.668
97,54.2,24.5,8.5,0,0,0.542
98,56.8,24.5,9.5,0,0,0.568
99,50,30.5,8.5,0,0,0.5
100,52.5,27.5,15.5,0,0,0.525
101,57.3,25.5,13.5,0,0,0.573
102,48,27.5,10.5,0,0,0.48
103,46,30.5,10.5,0,0,0.46
104,58.3,27.5,13.5,0,0,0.583
105,71.3,22.5,12.5,0,0,0.713
106,67.8,26.5,10.5,4,1,0.678
107,51.3,28.5,15.5,5,1,0.513
108,69,13.5,8.5,2,1,0.69
109,50.5,19.5,2.5,0,0,0.505
110,44.8,19.5,5.5,0,0,0.448
111,39.8,23.5,4.5,0,0,0.398
112,41.5,27.5,6.5,0,0,0.415
113,41.7,30.5,10.5,0,0,0.417
114,40,31.5,14.5,0,0,0.4
115,54.2,26.5,15.5,0,0,0.542
116,44.8,28.5,10.5,0,0,0.448
117,32.7,31.5,12.5,0,0,0.327
118,52.2,24.5,14.5,0,0,0.522
119,51,25.5,14.5,0,0,0.51
120,49,24.5,13.5,0,0,0.49
121,53.2,26.5,15.5,0.5,1,0.532
122,71.5,26.5,13.5,0.2,1,0.715
123,51.2,28.5,11.5,0,0,0.512
124,46.3,30.5,11.5,0,0,0.463
125,38.5,32.5,13.5,0,0,0.385
126,59.8,27.5,14.5,0,0,0.598
127,78.5,18.5,14.5,0.6,1,0.785
128,59.3,23.5,13.5,0,0,0.593
129,44.3,26.5,8.5,0,0,0.443
130,37.2,31.5,9.5,0,0,0.372
131,81.7,19.5,16.5,3,1,0.817
132,71.2,21.5,13.5,2,1,0.712
133,58.7,25.5,9.5,0,0,0.587
134,48.5,29.5,11.5,0,0,0.485
135,37,34.5,13.5,0,0,0.37
136,49.8,33.5,15.5,0,0,0.498
137,74.8,17.5,13.5,0,0,0.748
138,58.5,23.5,10.5,0,0,0.585
139,40.3,27.5,8.5,0,0,0.403
140,34,31.5,11.5,0,0,0.34
141,32.5,32.5,13.5,0,0,0.325
142,32.2,34.5,14.5,0,0,0.322
143,31,34.5,13.5,0,0,0.31
144,28.3,36.5,16.5,0,0,0.283
145,59.5,27.5,20.5,0,0,0.595
146,71.2,22.5,16.5,2,1,0.712
147,48,34.5,14.5,0,0,0.48
148,44.5,35.5,16.5,0,0,0.445
149,60.5,29.5,17.5,0,0,0.605
150,71.2,23.5,16.5,0,0,0.712
151,71,20.5,14.5,0,0,0.71
152,62.7,26.5,14.5,0,0,0.627
153,51.3,27.5,15.5,5,1,0.513
154,37.8,30.5,12.5,0,0,0.378
155,29.7,34.5,12.5,0,0,0.297
156,28.5,36.5,15.5,0,0,0.285
157,26.7,37.5,14.5,0,0,0.267
158,36,38.5,18.5,0,0,0.36
159,38.2,39.5,18.5,0,0,0.382
160,55.8,33.5,19.5,0,0,0.558
161,50.8,31.5,18.5,0,0,0.508
162,43.5,28.5,18.5,0,0,0.435
163,57.5,25.5,16.5,0,0,0.575
164,38.2,27.5,13.5,0,0,0.382
165,28.7,33.5,12.5,0,0,0.287
166,33,32.5,16.5,0,0,0.33
167,37.7,33.5,18.5,0,0,0.377
168,36.3,35.5,18.5,0,0,0.363
169,65.5,24.5,18.5,0,0,0.655
170,60.3,28.5,19.5,0,0,0.603
171,51.5,32.5,20.5,0,0,0.515
172,36,37.5,18.5,0,0,0.36
173,34.7,39.5,19.5,0,0,0.347
174,67.2,25.5,20.5,0,0,0.672
175,69.8,22.5,17.5,0,0,0.698
176,44.3,29.5,16.5,0,0,0.443
177,35.5,31.5,15.5,0,0,0.355
178,25.5,33.5,14.5,0,0,0.255
179,25.3,34.5,15.5,0,0,0.253
180,30.8,34.5,16.5,0,0,0.308
181,20.7,34.5,14.5,0,0,0.207
182,21.3,33.5,12.5,0,0,0.213
183,20.3,36.5,13.5,0,0,0.203
184,21,37.5,15.5,0,0,0.21
185,32,35.5,16.5,0,0,0.32
186,46,35.5,20.5,0,0,0.46
187,36.2,37.5,20.5,0,0,0.362
188,22.3,38.5,17.5,0,0,0.223
189,49.8,35.5,23.5,0,0,0.498
190,42.8,37.5,21.5,0,0,0.428
191,34,39.5,20.5,0,0,0.34
192,57.7,31.5,22.5,0,0,0.577
193,47.7,35.5,22.5,0,0,0.477
194,32.3,34.5,20.5,0,0,0.323
195,25.7,35.5,15.5,0,0,0.257
196,26.3,36.5,19.5,0,0,0.263
197,26.2,37.5,22.5,0,0,0.262
198,33,37.5,21.5,0,0,0.33
199,45.2,34.5,23.5,0,0,0.452
200,47.2,33.5,22.5,0,0,0.472
201,34.3,35.5,21.5,0,0,0.343
202,28.3,38.5,18.5,0,0,0.283
203,36.3,36.5,20.5,0,0,0.363
204,22.7,35.5,17.5,0,0,0.227
205,24.8,36.5,18.5,0,0,0.248
206,23.8,37.5,16.5,0,0,0.238
207,22.5,38.5,18.5,0,0,0.225
208,20,37.5,17.5,0,0,0.2
209,21.3,36.5,16.5,0,0,0.213
210,20,37.5,16.5,0,0,0.2
211,20.3,38.5,19.5,0,0,0.203
212,25.5,39.5,18.5,0,0,0.255
213,45.3,34.5,19.5,0,0,0.453
214,48.8,35.5,24.5,0,0,0.488
215,43.3,34.5,22.5,0,0,0.433
216,42.8,37.5,20.5,0,0,0.428
217,51.7,34.5,21.5,0,0,0.517
218,51,36.5,21.5,0,0,0.51
219,53.8,35.5,22.5,0,0,0.538
220,61.5,31.5,21.5,0,0,0.615
221,56.2,30.5,21.5,0,0,0.562
222,51.5,31.5,21.5,0,0,0.515
223,41,33.5,20.5,0,0,0.41
224,37,33.5,18.5,0,0,0.37
225,36.7,35.5,19.5,0,0,0.367
226,27,34.5,17.5,0,0,0.27
227,24.3,35.5,14.5,0,0,0.243
228,28.2,35.5,15.5,0,0,0.282
229,28,35.5,15.5,0,0,0.28
230,27.5,36.5,15.5,0,0,0.275
231,29.7,36.5,17.5,0,0,0.297
232,25.5,38.5,14.5,0,0,0.255
233,33.3,41.5,16.5,0,0,0.333
234,54.3,35.5,23.5,0,0,0.543
235,51.2,34.5,23.5,0,0,0.512
236,35.5,38.5,19.5,0,0,0.355
237,35.7,33.5,17.5,0,0,0.357
238,33.8,33.5,13.5,0,0,0.338
239,23,35.5,10.5,0,0,0.23
240,60,30.5,19.5,0,0,0.6
241,58.2,33.5,21.5,0,0,0.582
242,62.5,31.5,20.5,0,0,0.625
243,75.5,23.5,17.5,0,0,0.755
244,55,31.5,14.5,0,0,0.55
245,41.3,33.5,14.5,0,0,0.413
246,30.2,35.5,13.5,0,0,0.302
247,41.3,33.5,16.5,0,0,0.413
248,28.2,35.5,13.5,0,0,0.282
249,55.3,33.5,16.5,0,0,0.553
250,45,37.5,17.5,0,0,0.45
251,45.3,32.5,15.5,0,0,0.453
252,72.3,26.5,19.5,0,0,0.723
253,72.8,24.5,16.5,2,1,0.728
254,57.8,27.5,15.5,3,1,0.578
255,37.3,31.5,9.5,0,0,0.373
256,27.5,32.5,9.5,0,0,0.275
257,21.8,32.5,9.5,0,0,0.218
258,46,28.5,10.5,0,0,0.46
259,51.8,31.5,15.5,0,0,0.518
260,34.7,35.5,12.5,0,0,0.347
261,25.5,37.5,12.5,0,0,0.255
262,36.3,31.5,12.5,0,0,0.363
263,55.5,29.5,18.5,0,0,0.555
264,55,31.5,13.5,0,0,0.55
265,49,35.5,13.5,0,0,0.49
266,76.5,23.5,17.5,0,0,0.765
267,60.8,23.5,14.5,2,1,0.608
268,46.3,29.5,8.5,0,0,0.463
269,55,27.5,11.5,0,0,0.55
270,50.7,29.5,13.5,0,0,0.507
271,44.3,31.5,11.5,0,0,0.443
272,53.2,30.5,11.5,0,0,0.532
273,49.7,29.5,16.5,0,0,0.497
274,41.5,31.5,10.5,0,0,0.415
275,34,33.5,10.5,0,0,0.34
276,46.5,31.5,14.5,0,0,0.465
277,46.2,34.5,13.5,0,0,0.462
278,33.5,35.5,15.5,0,0,0.335
279,64.8,27.5,19.5,0,0,0.648
280,57.3,25.5,13.5,0,0,0.573
281,49.7,27.5,9.5,0,0,0.497
282,51.8,25.5,10.5,0,0,0.518
283,64.8,19.5,14.5,2,1,0.648
284,54.2,16.5,5.5,0,0,0.542
285,43.8,18.5,5.5,0,0,0.438
286,64.3,16.5,7.5,0.1,1,0.643
287,75.8,15.5,9.5,0.4,1,0.758
288,84.3,12.5,8.5,8,1,0.843
289,77.2,17.5,4.5,0,0,0.772
290,73.8,18.5,4.5,0,0,0.738
291,69.2,21.5,5.5,0.1,1,0.692
292,66.8,24.5,5.5,0,0,0.668
293,56.8,25.5,6.5,0,0,0.568
294,76,17.5,8.5,2,1,0.76
295,70.7,12.5,7.5,2,1,0.707
296,64.7,17.5,3.5,0,0,0.647
297,58.8,22.5,2.5,0,0,0.588
298,51.3,25.5,1.5,0,0,0.513
299,44.3,27.5,3.5,0,0,0.443
300,63.3,21.5,7.5,0,0,0.633
301,68.8,21.5,5.5,0,0,0.688
302,71.7,18.5,12.5,0.3,1,0.717
303,64,20.5,6.5,0,0,0.64
304,77.3,17.5,11.5,3,1,0.773
305,59.3,22.5,4.5,0,0,0.593
306,48.7,23.5,6.5,0,0,0.487
307,83.2,14.5,10.5,2,1,0.832
308,76.3,15.5,7.5,0.1,1,0.763
309,69.8,16.5,6.5,0,0,0.698
310,75.2,16.5,10.5,2,1,0.752
311,65,20.5,1.5,0,0,0.65
312,56.3,22.5,3.5,0,0,0.563
313,51.2,19.5,8.5,0,0,0.512
314,42.3,23.5,9.5,0,0,0.423
315,68.3,19.5,16.5,3,1,0.683
316,64.8,20.5,5.5,2,1,0.648
317,52,24.5,7.5,0,0,0.52
318,57.2,24.5,5.5,0,0,0.572
319,78.5,17.5,8.5,0,0,0.785
320,81.5,16.5,6.5,0.2,1,0.815
321,77.3,18.5,10.5,8,1,0.773
322,82.5,14.5,9.5,2,1,0.825
323,82.2,13.5,8.5,21,1,0.822
324,77.3,16.5,4.5,0,0,0.773
325,82.5,16.5,5.5,0,0,0.825
326,62.5,19.5,3.5,0,0,0.625
327,43.7,22.5,5.5,0,0,0.437
328,71.7,16.5,10.5,0.3,1,0.717
329,75.8,10.5,2.5,2,1,0.758
330,79.2,10.5,0.5,2,1,0.792
331,67.7,16.5,0.5,2,1,0.677
332,61,17.5,0.5,0,0,0.61
333,66.8,15.5,2.5,0,0,0.668
334,61.2,19.5,5.5,0,0,0.612
335,63.8,20.5,3.5,0,0,0.638
336,70.8,16.5,2.5,0,0,0.708
337,67.5,17.5,5.5,0,0,0.675
338,53.3,19.5,1.5,0,0,0.533
339,48.7,19.5,0.5,0,0,0.487
340,54.2,20.5,0.5,0,0,0.542
341,55.5,15.5,1.5,0,0,0.555
342,53.5,16.5,4.5,0,0,0.535
343,79,15.5,7.5,0,0,0.79
344,77.7,11.5,8.5,0,0,0.777
345,68.5,16.5,-0.5,0,0,0.685
346,48.3,17.5,0.5,0,0,0.483
347,62.2,15.5,8.5,1,1,0.622
348,80.5,10.5,2.5,3.1,1,0.805
349,66.3,13.5,0.5,0,0,0.663
350,66.2,13.5,-0.5,0,0,0.662
351,62.3,13.5,-2.5,0,0,0.623
352,62.2,13.5,-2.5,0,0,0.622
353,53.7,12.5,-1.5,0,0,0.537
354,92,5.5,4.5,14,1,0.92
355,89.8,5.5,2.5,2.2,1,0.898
356,77,5.5,-2.5,0,0,0.77
357,72.8,10.5,-1.5,0,0,0.728
358,72.3,11.5,-1.5,0,0,0.723
359,78.7,9.5,-0.5,0,0,0.787
360,74.8,13.5,-0.5,0,0,0.748
361,85.2,6.5,1.5,4,1,0.852
362,67.8,7.5,0.5,0.1,1,0.678
363,72,5.5,-2.5,0,0,0.72
364,83.2,6.5,2.5,1.2,1,0.832
365,70.8,12.5,3.5,0,0,0.708
366,79.8,13.5,1.5,0,0,0.798
